(pcgenv) dhern167@fedora:~/MinecraftPCG/schema-to-lite/longformerV2$ python layerencoder2.py 
Tokenizer vocab size: 50269
Air token id: 2456
/home/dhern167/miniconda3/envs/pcgenv/lib/python3.10/site-packages/transformers/training_args.py:1545: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
{'loss': 0.0114, 'grad_norm': 0.0015437089605256915, 'learning_rate': 7.466995395686486e-06, 'epoch': 1.88}                                                                                                     
{'loss': 0.0107, 'grad_norm': 1.0025761127471924, 'learning_rate': 7.3616335303600214e-06, 'epoch': 1.9}                                                                                                        
{'loss': 0.0097, 'grad_norm': 0.013228248804807663, 'learning_rate': 7.256271665033559e-06, 'epoch': 1.91}                                                                                                      
{'loss': 0.0118, 'grad_norm': 0.00041666784090921283, 'learning_rate': 7.150909799707094e-06, 'epoch': 1.93}                                                                                                    
{'loss': 0.0099, 'grad_norm': 1.0331306457519531, 'learning_rate': 7.045547934380631e-06, 'epoch': 1.94}                                                                                                        
{'loss': 0.013, 'grad_norm': 0.23043134808540344, 'learning_rate': 6.940396792784821e-06, 'epoch': 1.96}                                                                                                        
{'loss': 0.0181, 'grad_norm': 0.37778785824775696, 'learning_rate': 6.835034927458356e-06, 'epoch': 1.98}                                                                                                       
{'loss': 0.0154, 'grad_norm': 0.07105375826358795, 'learning_rate': 6.729883785862545e-06, 'epoch': 1.99}                                                                                                       
{'eval_loss': 0.01421308983117342, 'eval_runtime': 333.2425, 'eval_samples_per_second': 21.099, 'eval_steps_per_second': 10.551, 'epoch': 2.0}                                                                  
{'loss': 0.0136, 'grad_norm': 0.6292338371276855, 'learning_rate': 6.624521920536082e-06, 'epoch': 2.01}                                                                                                        
{'loss': 0.0157, 'grad_norm': 0.22108988463878632, 'learning_rate': 6.51937077894027e-06, 'epoch': 2.02}                                                                                                        
{'loss': 0.0161, 'grad_norm': 0.27532958984375, 'learning_rate': 6.414008913613807e-06, 'epoch': 2.04}                                                                                                          
{'loss': 0.0137, 'grad_norm': 0.04592902213335037, 'learning_rate': 6.308647048287343e-06, 'epoch': 2.05}                                                                                                       
{'loss': 0.0107, 'grad_norm': 0.1337532252073288, 'learning_rate': 6.2032851829608795e-06, 'epoch': 2.07}                                                                                                       
{'loss': 0.0104, 'grad_norm': 0.8305761218070984, 'learning_rate': 6.097923317634415e-06, 'epoch': 2.09}                                                                                                        
{'loss': 0.0104, 'grad_norm': 0.1926649510860443, 'learning_rate': 5.992561452307952e-06, 'epoch': 2.1}                                                                                                         
{'loss': 0.0097, 'grad_norm': 0.0004341242602095008, 'learning_rate': 5.887199586981488e-06, 'epoch': 2.12}                                                                                                     
{'loss': 0.008, 'grad_norm': 0.0577242374420166, 'learning_rate': 5.781837721655025e-06, 'epoch': 2.13}                                                                                                         
